Não-Terminal,&&,(,),*,+,,,-,.,/,:,:=,;,<,<=,<>,=,>,>=,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL,^,begin,bool,deref,do,else,end,enum,false,fi,float,id,if,in,int,new,not,null,od,procedure,program,ref,return,string,struct,then,true,var,while,||,}
TYPE,,,,,,,,,,,,,,,,,,,,,,,,bool,,,,,,,,float,id,,,int,,,,,,,ref ( TYPE ),,string,,,,,,,
RETURN_STMT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,return ( EXP ),,,,,,,,
NOT_OP,,NOT_OP' EXP_REL,,,,,,,,,,,,,,,,,NOT_OP' EXP_REL,NOT_OP' EXP_REL,NOT_OP' EXP_REL,,,,NOT_OP' EXP_REL,,,,,NOT_OP' EXP_REL,,,NOT_OP' EXP_REL,,,,NOT_OP' EXP_REL,NOT_OP' EXP_REL,NOT_OP' EXP_REL,,,,NOT_OP' EXP_REL,,,,,NOT_OP' EXP_REL,,,,
VAR_EXP_DECL,,,,,,,,,,,:= EXP,ε,,,,,,,,,,,,,,,,ε,,,,,,,ε,,,,,,,,,,,,,,,,,
EXP_REL4,,EXP_ARITH4 EXP_REL4',,,,,,,,,,,,,,,,,EXP_ARITH4 EXP_REL4',EXP_ARITH4 EXP_REL4',EXP_ARITH4 EXP_REL4',,,,EXP_ARITH4 EXP_REL4',,,,,EXP_ARITH4 EXP_REL4',,,EXP_ARITH4 EXP_REL4',,,,EXP_ARITH4 EXP_REL4',,EXP_ARITH4 EXP_REL4',,,,EXP_ARITH4 EXP_REL4',,,,,EXP_ARITH4 EXP_REL4',,,,
PROGRAM_DECL',,,,,,,,,,,,; DECL PROGRAM_DECL',,,,,,,,,,,,,,,,ε,,,,,,,ε,,,,,,,,,,,,,,,,,
DECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENUM_DECL,,,,,,,,,,,,PROC_DECL,,,,,REC_DECL,,,VAR_DECL,,,
EXP_ARITH',ε,,ε,,+ TERM EXP_ARITH',ε,- TERM EXP_ARITH',,,,,ε,ε,ε,ε,ε,ε,ε,,,,,,,,ε,ε,ε,,,ε,,,,ε,,,,,ε,,,,,,,ε,,,,ε,
FACT3,,( EXP ),,,,,,,,,,,,,,,,,LITERAL,LITERAL,LITERAL,,,,DEREF_VAR,,,,,LITERAL,,,id CALL_STMT,,,,new id,,LITERAL,,,,REF_VAR,,,,,LITERAL,,,,
STMT_LIST,,STMT STMT_LIST',,,,,,,,,,,,,,,,,STMT STMT_LIST',STMT STMT_LIST',STMT STMT_LIST',,,,STMT STMT_LIST',,ε,ε,,STMT STMT_LIST',ε,,STMT STMT_LIST',STMT STMT_LIST',,,STMT STMT_LIST',STMT STMT_LIST',STMT STMT_LIST',ε,,,STMT STMT_LIST',STMT STMT_LIST',,,,STMT STMT_LIST',,STMT STMT_LIST',,
AND_OP',&& NOT_OP AND_OP',,ε,,,ε,,,,,,ε,,,,,,,,,,,,,,ε,ε,ε,,,ε,,,,ε,,,,,ε,,,,,,,ε,,,,ε,
LITERAL,,,,,,,,,,,,,,,,,,,FLOAT_LITERAL,INT_LITERAL,STRING_LITERAL,,,,,,,,,BOOL_LITERAL,,,,,,,,,null,,,,,,,,,BOOL_LITERAL,,,,
